"Time","Sound pressure level"
1.676335590E2,-4.945887282E1
1.677372659E2,-4.893932544E1
1.678501060E2,-4.881382287E1
1.679539770E2,-4.337615137E1
1.680665790E2,-4.727327966E1
1.681750259E2,-4.907516942E1
1.682875320E2,-4.298679655E1
1.684005140E2,-4.654974798E1
1.685042779E2,-4.754790937E1
1.686169190E2,-4.394889433E1
1.687209140E2,-4.902974796E1
1.688305449E2,-4.891484881E1
1.689378580E2,-4.789966262E1
1.690506660E2,-4.614143373E1
1.691548200E2,-4.719125934E1
1.692677130E2,-4.811895475E1
1.693749620E2,-4.865000488E1
1.694843990E2,-4.889070958E1
1.695881090E2,-4.969379683E1
1.697010090E2,-4.872503212E1
1.698050480E2,-4.813381863E1
1.699177450E2,-4.830142461E1
1.700216540E2,-4.832693306E1
1.701344010E2,-4.932834223E1
1.702385060E2,-4.878817520E1
1.703511320E2,-4.830650534E1
1.704552360E2,-4.815922214E1
1.705677299E2,-4.771338904E1
1.706719590E2,-4.746139283E1
1.707846560E2,-4.073299442E1
1.708901390E2,-4.018606313E1
1.710030100E2,-4.445236207E1
1.711067740E2,-4.732300808E1
1.712197490E2,-4.682993423E1
1.713296530E2,-4.712953989E1
1.714390730E2,-4.244588504E1
1.715461620E2,-4.796458041E1
1.716557920E2,-4.214720599E1
1.717630640E2,-3.857541230E1
1.718726780E2,-4.544289669E1
1.719796470E2,-4.790193292E1
1.720892650E2,-4.187161374E1
1.721965730E2,-4.605219318E1
1.723060910E2,-4.721079609E1
1.724129920E2,-4.296404903E1
1.725229250E2,-4.447113896E1
1.726296639E2,-4.268352507E1
1.727396300E2,-4.595571003E1
1.728463210E2,-4.818720850E1
1.729564650E2,-4.876803079E1
1.730680090E2,-4.734148411E1
1.731796570E2,-4.325352560E1
1.732899650E2,-4.736507240E1
1.733963130E2,-4.535927516E1
1.735067010E2,-4.438173151E1
1.736130550E2,-4.839681609E1
1.737234100E2,-3.824828196E1
1.738296520E2,-3.849753691E1
1.739402070E2,-3.837881952E1
1.740463220E2,-4.383090752E1
1.741570760E2,-3.904288064E1
1.742629570E2,-4.053896157E1
1.743777109E2,-4.016996212E1
1.744905320E2,-4.156453748E1
1.745963130E2,-4.898367995E1
1.747072530E2,-4.070084125E1
1.748129840E2,-4.765862946E1
1.749241130E2,-4.400593763E1
1.750296290E2,-4.066872239E1
1.751408550E2,-4.809916007E1
1.752463870E2,-4.058551371E1
1.753576140E2,-4.942397703E1
1.754629700E2,-4.864623781E1
1.755779420E2,-4.832228504E1
1.756819910E2,-4.832901025E1
1.757911290E2,-4.944433607E1
1.759017320E2,-4.938574383E1
1.760080210E2,-4.962749495E1
1.761183910E2,-4.896662652E1
1.762246760E2,-4.358641153E1
1.763350461E2,-4.585897567E1
1.764415430E2,-4.893261473E1
1.765517319E2,-4.806311918E1
1.766582730E2,-3.892997588E1
1.767683610E2,-3.485538808E1
1.768750740E2,-4.728077760E1
1.769850650E2,-4.756998887E1
1.770917940E2,-4.786020034E1
1.772017310E2,-4.951870370E1
1.773085310E2,-5.006203179E1
1.774184220E2,-4.954578037E1
1.775256040E2,-4.608533522E1
1.776350490E2,-4.802062940E1
1.777421120E2,-4.214956622E1
1.778517140E2,-4.293644534E1
1.779589601E2,-4.686829490E1
1.780682740E2,-4.857541939E1
1.781794471E2,-4.424857164E1
1.782846791E2,-4.721924583E1
1.783924201E2,-4.854592655E1
1.785017000E2,-4.808376556E1
1.786091810E2,-4.882483493E1
1.787184230E2,-4.922741997E1
1.788260200E2,-4.894089059E1
1.789387910E2,-4.927564227E1
1.790427650E2,-4.843147848E1
1.791555110E2,-4.933705346E1
1.792595190E2,-4.530096828E1
1.793679230E2,-4.491660722E1
1.794781621E2,-4.878636493E1
1.795908951E2,-4.853800957E1
1.796948349E2,-4.928282660E1
1.798076450E2,-5.047239005E1
1.799180440E2,-3.975092497E1
1.800265460E2,-4.165229317E1
1.801347570E2,-4.501610087E1
1.802433590E2,-4.942124482E1
1.803514860E2,-4.926661474E1
1.804601570E2,-4.757122645E1
1.805680619E2,-3.916707642E1
1.806769240E2,-4.852290051E1
1.807846380E2,-4.876984865E1
1.808937380E2,-4.868913700E1
1.810013829E2,-4.822484905E1
1.811103420E2,-4.729568970E1
1.812181150E2,-4.796597341E1
1.813272491E2,-4.792220430E1
1.814347550E2,-4.729667338E1
1.815440500E2,-4.302712021E1
1.816513960E2,-4.825490627E1
1.817607540E2,-4.211610466E1
1.818679650E2,-4.253982751E1
1.819813160E2,-4.609835474E1
1.820848410E2,-4.802302284E1
1.821943970E2,-4.748040793E1
1.823014650E2,-4.463556616E1
1.824112680E2,-4.185498553E1
1.825180510E2,-4.713355186E1
1.826279130E2,-3.945684707E1
1.827347540E2,-4.645673751E1
1.828447419E2,-4.739304088E1
1.829545690E2,-4.830474340E1
1.830613750E2,-4.553185705E1
1.831743150E2,-4.265602897E1
1.832781370E2,-4.732493723E1
1.833910760E2,-4.821327908E1
1.834949000E2,-4.860015593E1
1.836034710E2,-4.419675701E1
